B Current (A)	Magnetic field (mT)	V_diode (V)	V_device (V)	V_abs	V_abs_R	V_abs_Theta
1.1368300000000	0.0121901000000	0.0000000000000	0.0000009561714	-0.0000166894000	0.0000166894000	-87.5220000000000
1.1869000000000	0.0122806000000	0.0000000000000	0.0000010642149	-0.0000190140000	0.0000190140000	-84.9300000000000
1.1597000000000	0.0123743000000	0.0000000000000	0.0000011682532	-0.0000173451000	0.0000173451000	-84.9960000000000
1.2066800000000	0.0124686000000	0.0000000000000	0.0000012473585	-0.0000189544000	0.0000189544000	-88.4100000000000
1.1862800000000	0.0125642000000	0.0000000000000	0.0000013287667	-0.0000205041000	0.0000205041000	-88.0680000000000
1.1998800000000	0.0126592000000	0.0000000000000	0.0000014293003	-0.0000188948000	0.0000188948000	-91.7940000000000
1.2221400000000	0.0127568000000	0.0000000000000	0.0000015212224	-0.0000227095000	0.0000227095000	-92.2560000000000
1.2141000000000	0.0128516000000	0.0000000000000	0.0000015265294	-0.0000216962000	0.0000216962000	-88.9320000000000
1.2493400000000	0.0129472000000	0.0000000000000	0.0000015237256	-0.0000241400000	0.0000241400000	-87.0180000000000
1.2215200000000	0.0130440000000	0.0000000000000	0.0000015360420	-0.0000283719000	0.0000283719000	-88.9140000000000
1.2728300000000	0.0131408000000	0.0000000000000	0.0000016616088	-0.0000216962000	0.0000216962000	-90.1740000000000
1.2419200000000	0.0132403000000	0.0000000000000	0.0000017314015	-0.0000270010000	0.0000270010000	-99.0120000000000
1.2870500000000	0.0133379000000	0.0000000000000	0.0000018487575	-0.0000272394000	0.0000272394000	-90.5760000000000
1.2709700000000	0.0134357000000	0.0000000000000	0.0000020265942	-0.0000296236000	0.0000296236000	-83.9880000000000
1.2919900000000	0.0135327000000	0.0000000000000	0.0000020998916	-0.0000311139000	0.0000311139000	-95.8620000000000
1.3006500000000	0.0136311000000	0.0000000000000	0.0000022253583	-0.0000348093000	0.0000348093000	-96.0960000000000
1.2987900000000	0.0137276000000	0.0000000000000	0.0000023387089	-0.0000368359000	0.0000368359000	-92.0040000000000
1.3346500000000	0.0138270000000	0.0000000000000	0.0000024073001	-0.0000395777000	0.0000395777000	-94.4340000000000
1.3055900000000	0.0139220000000	0.0000000000000	0.0000024854034	-0.0000393393000	0.0000393393000	-93.5940000000000
1.3606100000000	0.0140170000000	0.0000000000000	0.0000025865378	-0.0000432136000	0.0000432136000	-94.9800000000000
1.3266100000000	0.0141126000000	0.0000000000000	0.0000026581329	-0.0000446441000	0.0000446441000	-89.6160000000000
1.3779200000000	0.0142093000000	0.0000000000000	0.0000028065301	-0.0000516775000	0.0000516775000	-91.4700000000000
1.3488700000000	0.0143066000000	0.0000000000000	0.0000028309625	-0.0000580552000	0.0000580552000	-92.8620000000000
1.3983200000000	0.0144038000000	0.0000000000000	0.0000028545936	-0.0000622873000	0.0000622873000	-91.7700000000000
1.3717400000000	0.0145044000000	0.0000000000000	0.0000028910420	-0.0000628238000	0.0000628238000	-92.3340000000000
1.4057400000000	0.0146038000000	0.0000000000000	0.0000030440453	-0.0000740890000	0.0000740890000	-93.1620000000000
1.4045000000000	0.0147023000000	0.0000000000000	0.0000032446117	-0.0000855927000	0.0000855927000	-92.6640000000000
1.4075900000000	0.0148013000000	0.0000000000000	0.0000034997507	-0.0000883345000	0.0000883345000	-91.8900000000000
1.4409700000000	0.0149010000000	0.0000000000000	0.0000037896365	-0.0000980501000	0.0000980501000	-92.7960000000000
1.4267600000000	0.0149952000000	0.0000000000000	0.0000040241481	-0.0001074080000	0.0001074080000	-91.5480000000000
1.4619900000000	0.0150908000000	0.0000000000000	0.0000040916378	-0.0001248730000	0.0001248730000	-92.0280000000000
1.4317000000000	0.0151879000000	0.0000000000000	0.0000043926378	-0.0001388200000	0.0001388200000	-91.5780000000000
1.4830100000000	0.0152848000000	0.0000000000000	0.0000046491786	-0.0001547350000	0.0001547350000	-93.1680000000000
1.4632300000000	0.0153858000000	0.0000000000000	0.0000049505787	-0.0001781590000	0.0001781590000	-91.7760000000000
1.5003200000000	0.0154868000000	0.0000000000000	0.0000051337220	-0.0002006300000	0.0002006300000	-91.7700000000000
1.4749700000000	0.0155864000000	0.0000000000000	0.0000054859901	-0.0002239360000	0.0002239360000	-92.2740000000000
1.5034100000000	0.0156852000000	0.0000000000000	0.0000058659950	-0.0002512350000	0.0002512350000	-92.0880000000000
1.5207200000000	0.0157812000000	0.0000000000000	0.0000061899254	-0.0002779980000	0.0002779980000	-91.4160000000000
1.5027900000000	0.0158760000000	0.0000000000000	0.0000064756072	-0.0003044030000	0.0003044030000	-91.3440000000000
1.5516300000000	0.0159741000000	0.0000000000000	0.0000068000383	-0.0003269330000	0.0003269330000	-92.1360000000000
1.5176300000000	0.0160703000000	0.0000000000000	0.0000068992702	-0.0003392120000	0.0003392120000	-91.5300000000000
1.5714100000000	0.0161709000000	0.0000000000000	0.0000068965666	-0.0003352780000	0.0003352780000	-92.3040000000000
1.5380300000000	0.0162724000000	0.0000000000000	0.0000068606188	-0.0003108400000	0.0003108400000	-92.9340000000000
1.5887200000000	0.0163723000000	0.0000000000000	0.0000066506408	-0.0002545140000	0.0002545140000	-93.1740000000000
1.5701700000000	0.0164726000000	0.0000000000000	0.0000062759428	-0.0001679070000	0.0001679070000	-93.4620000000000
1.6010800000000	0.0165691000000	0.0000000000000	0.0000057324204	-0.0000562670000	0.0000562670000	-95.2920000000000
1.5751200000000	0.0166644000000	0.0000000000000	0.0000050670360	0.0000599625000	0.0000599625000	88.5960000000000
